"code","description","subcategory","commoncat","icd10subcategory","MatchStage","manual_icd10"
"200","lymphosarcoma and reticulosarcoma","malignant neoplasm of lymphatic and haematopoietic tissue","neoplasms","malignant neoplasms of lymphoid, hematopoietic and related tissue","fuzzy by subcategory",NA
"201","hodgkin's disease","malignant neoplasm of lymphatic and haematopoietic tissue","neoplasms","malignant neoplasms of lymphoid, hematopoietic and related tissue","fuzzy by subcategory",NA
"202","other malignant neoplasm of lymphoid and histiocytic tissue","malignant neoplasm of lymphatic and haematopoietic tissue","neoplasms","malignant neoplasms of lymphoid, hematopoietic and related tissue","fuzzy by subcategory",NA
"203","multiple myeloma and immunoproliferative neoplasms","malignant neoplasm of lymphatic and haematopoietic tissue","neoplasms","malignant neoplasms of lymphoid, hematopoietic and related tissue","fuzzy by subcategory",NA
"204","lymphoid leukaemia","malignant neoplasm of lymphatic and haematopoietic tissue","neoplasms","malignant neoplasms of lymphoid, hematopoietic and related tissue","fuzzy by subcategory",NA
"205","myeloid leukaemia","malignant neoplasm of lymphatic and haematopoietic tissue","neoplasms","malignant neoplasms of lymphoid, hematopoietic and related tissue","fuzzy by subcategory",NA
"206","monocytic leukaemia","malignant neoplasm of lymphatic and haematopoietic tissue","neoplasms","malignant neoplasms of lymphoid, hematopoietic and related tissue","fuzzy by subcategory",NA
"207","other specified leukaemia","malignant neoplasm of lymphatic and haematopoietic tissue","neoplasms","malignant neoplasms of lymphoid, hematopoietic and related tissue","fuzzy by subcategory",NA
"208","leukaemia of unspecified cell type","malignant neoplasm of lymphatic and haematopoietic tissue","neoplasms","malignant neoplasms of lymphoid, hematopoietic and related tissue","fuzzy by subcategory",NA
"20b","post coital test","additional diagnostic codes","nan","no conversion",NA,NA
"210","benign neoplasm of lip, oral cavity and pharynx","benign neoplasm","neoplasms","malignant neoplasms of lip, oral cavity and pharynx","fuzzy by code",NA
"211","benign neoplasm of other parts of digestive system","benign neoplasm","neoplasms","benign neoplasms, except benign neuroendocrine tumors","fuzzy by code",NA
"212","benign neoplasm of respiratory and intrathoracic organs","benign neoplasm","neoplasms","malignant neoplasms of respiratory and intrathoracic organs","fuzzy by code",NA
"213","benign neoplasm of bone and articular cartilage","benign neoplasm","neoplasms","benign neoplasms, except benign neuroendocrine tumors","fuzzy by code",NA
"214","lipoma","benign neoplasm","neoplasms","benign neoplasms, except benign neuroendocrine tumors","manual by code","d17"
"215","other benign neoplasm of connective and other soft tissue","benign neoplasm","neoplasms","benign neoplasms, except benign neuroendocrine tumors","fuzzy by code",NA
"216","benign neoplasm of skin","benign neoplasm","neoplasms","benign neoplasms, except benign neuroendocrine tumors","manual by code","d23"
"217","benign neoplasm of breast","benign neoplasm","neoplasms","benign neoplasms, except benign neuroendocrine tumors","fuzzy by code",NA
"218","uterine leiomyoma","benign neoplasm","neoplasms","benign neoplasms, except benign neuroendocrine tumors","fuzzy by code",NA
"219","other benign neoplasm of uterus","benign neoplasm","neoplasms","benign neoplasms, except benign neuroendocrine tumors","fuzzy by code",NA
"21b","congenital anomalies – female","additional diagnostic codes","nan","other congenital malformations","manual by code","q89"
"220","benign neoplasm of ovary","benign neoplasm","neoplasms","benign neoplasms, except benign neuroendocrine tumors","fuzzy by code",NA
"221","benign neoplasm of other female genital organs","benign neoplasm","neoplasms","benign neoplasms, except benign neuroendocrine tumors","fuzzy by code",NA
"222","benign neoplasm of male genital organs","benign neoplasm","neoplasms","benign neoplasms, except benign neuroendocrine tumors","fuzzy by code",NA
"223","benign neoplasm of kidney and other urinary organs","benign neoplasm","neoplasms","benign neoplasms, except benign neuroendocrine tumors","fuzzy by code",NA
"224","benign neoplasm of eye","benign neoplasm","neoplasms","benign neoplasms, except benign neuroendocrine tumors","fuzzy by code",NA
"225","benign neoplasm of brain and other parts of nervous system","benign neoplasm","neoplasms","benign neoplasms, except benign neuroendocrine tumors","fuzzy by code",NA
"226","benign neoplasm of thyroid gland","benign neoplasm","neoplasms","benign neoplasms, except benign neuroendocrine tumors","fuzzy by code",NA
"227","benign neoplasm of other endocrine glands and related structures","benign neoplasm","neoplasms","benign neoplasms, except benign neuroendocrine tumors","manual by code","d35"
"228","haemangioma and lymphangioma, any site","benign neoplasm","neoplasms","benign neoplasms, except benign neuroendocrine tumors","fuzzy by code",NA
"229","benign neoplasm of other and unspecified sites","benign neoplasm","neoplasms","benign neoplasms, except benign neuroendocrine tumors","fuzzy by code",NA
"22b","open wounds of genital organs – female","additional diagnostic codes","nan","injuries to the abdomen, lower back, lumbar spine, pelvis and external genitals","manual by code","s31"
"230","carcinoma in situ of digestive organs","carcinoma in situ","neoplasms","In situ neoplasms","manual by category",NA
"231","carcinoma in situ of respiratory system","carcinoma in situ","neoplasms","In situ neoplasms","manual by category",NA
"232","carcinoma in situ of skin","carcinoma in situ","neoplasms","In situ neoplasms","manual by category",NA
"233","carcinoma in situ of breast and genitourinary system","carcinoma in situ","neoplasms","In situ neoplasms","manual by category",NA
"234","carcinoma in situ of other and unspecified sites","carcinoma in situ","neoplasms","In situ neoplasms","manual by category",NA
"235","neoplasm of uncertain behaviour of digestive and respiratory systems","neoplasms of uncertain behaviour","neoplasms","neoplasms of uncertain behavior, polycythemia vera and myelodysplastic syndromes","fuzzy by subcategory",NA
"236","neoplasm of uncertain behaviour of genitourinary organs","neoplasms of uncertain behaviour","neoplasms","neoplasms of uncertain behavior, polycythemia vera and myelodysplastic syndromes","fuzzy by subcategory",NA
"237","neoplasm of uncertain behaviour of endocrine glands and nervous system","neoplasms of uncertain behaviour","neoplasms","neoplasms of uncertain behavior, polycythemia vera and myelodysplastic syndromes","fuzzy by subcategory",NA
"238","neoplasm of uncertain behaviour of other and unspecified sites and tissues","neoplasms of uncertain behaviour","neoplasms","neoplasms of uncertain behavior, polycythemia vera and myelodysplastic syndromes","fuzzy by subcategory",NA
"239","neoplasm of unspecified nature","neoplasms of unspecified nature","neoplasms","Neoplasms of unspecified behavior","manual by category",NA
"23b","insertion/removal of iud","additional diagnostic codes","nan","persons with potential health hazards related to family and personal history and abbrev","manual by code","z97"
"240","simple and unspecified goitre","disorders of thyroid gland","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases","disorders of thyroid gland","fuzzy by subcategory",NA
"241","nontoxic nodular goitre","disorders of thyroid gland","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases","disorders of thyroid gland","fuzzy by subcategory",NA
"242","thyrotoxicosis with or without goitre","disorders of thyroid gland","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases","disorders of thyroid gland","fuzzy by subcategory",NA
"243","congenital hypothyroidism","disorders of thyroid gland","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases","disorders of thyroid gland","fuzzy by subcategory",NA
